MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,Growth_Classification,Exp_Daily_Growth,Linear_Daily_Growth,New_Cases_As_Text,CPB_April_2,CPB_April_3,CPB_April_4,CPB_April_5,CPB_April_6,CPB_April_7,CPB_April_8,CPB_April_9
"Sebastian-Vero Beach, FL",159923,4,612,50,0,Tapering,NaN,0.111111111111111,2  1  1  1  1  2  1  7  9  0  8  6  3,0.0261437908496732,0.0375816993464052,0.0359477124183007,0.0473856209150327,0.0555555555555556,0.0588235294117647,0.0651779230210603,0.0733478576615832
"Elmira, NY",83456,3,468,36,0,Rebounding,NaN,0.777777777777778,2   1   0   4   4   1   3   0   5   2   0  13   1,0.032051282051282,0.0384615384615385,0.0405982905982906,0.0405982905982906,0.0598290598290598,0.0534188034188034,0.0645773979107312,0.0731244064577398
"Stockton, CA",762148,10,1280,185,11,Decreasing,NaN,-0.444444444444444,10  10  17   3  19   3  20  10  13  15  22   7   5,0.071875,0.07421875,0.078125,0.08203125,0.08515625,0.07421875,0.0800347222222222,0.0722222222222222
"Fayetteville, NC",526719,8,1036,76,1,Exponential,0.174054885944019,NaN,1   3   5   1   0   0   9   2   8   6   7  10  13,0.0202702702702703,0.027027027027027,0.0299227799227799,0.0318532818532819,0.0405405405405405,0.0530888030888031,0.0658573082352755,0.0721609754014341
Pittsburgh,2317600,50,10981,921,12,Rebounding,NaN,16.1111111111111,14   20   48   72   42  106   66   54   72   50   87  110  124,0.0384300154812859,0.0437118659502778,0.0464438575721701,0.0499954466806302,0.0534559694016938,0.0609234131681996,0.0639488409272582,0.0720841048680043
"Mobile, AL",429536,8,1954,119,6,Rebounding,NaN,5,0   4   4   9   5   6  13   4   7   4  11  38  11,0.0230296827021494,0.0266120777891505,0.0266120777891505,0.0301944728761515,0.04503582395087,0.0481064483111566,0.060388945752303,0.0716479017400205
"Battle Creek, MI",134159,5,394,34,1,Rebounding,NaN,0.333333333333333,1  1  2  1  2  2  4  2  0  6  2  6  3,0.0380710659898477,0.0355329949238579,0.0482233502538071,0.0482233502538071,0.0609137055837563,0.0634517766497462,0.0693739424703892,0.0710659898477157
"Bend, OR",197692,2,308,36,0,Rebounding,NaN,0.555555555555556,0  0  0  5  3  2  3  2 -1  3  5  4  0,0.0487012987012987,0.0454545454545455,0.0551948051948052,0.0714285714285714,0.0681818181818182,0.0584415584415584,0.0652958152958153,0.0707070707070707
"Binghamton, NY",238691,4,819,73,4,Rebounding,NaN,0.888888888888889,0   6   2   6   2   9   6   7   4   4   4  10   9,0.0463980463980464,0.0512820512820513,0.0488400488400488,0.0512820512820513,0.0561660561660562,0.0647130647130647,0.0652557319223986,0.0705467372134039
Oklahoma City,1408950,43,5971,487,19,Tapering,NaN,3.55555555555556,6  20  22  34  28  20  19  29  31  71  66  33  64,0.0298107519678446,0.0339976553341149,0.0425389382013063,0.0499078881259421,0.0497404119912912,0.0557695528387205,0.0627105081970264,0.0704144103909637
"Fond du Lac, WI",103403,4,214,30,2,Exponential,0.0806240864622092,NaN,0  2  0 -1  1  2  0  1  1  2  4  2  0,0.0233644859813084,0.0280373831775701,0.0280373831775701,0.0467289719626168,0.0607476635514019,0.0560747663551402,0.0580314139900293,0.0702451050806941
Daytona Beach,668365,10,2141,163,3,Exponential,0.135639218529364,NaN,4   3   3  11  14   7   3  18  20   2  27  26  10,0.0294255021018216,0.0368986454927604,0.0364315740308267,0.0476412891172349,0.0546473610462401,0.0527790751985054,0.0598361478843,0.0701621946986939
"Spokane-Spokane Valley, WA",568521,12,1971,214,10,Tapering,NaN,0.111111111111111,0   9   4  35  16  26   0  28   1  22  25  12  15,0.0598680872653475,0.0603754439370878,0.0669710806697108,0.0776255707762557,0.0659563673262303,0.0654490106544901,0.0611646654264615,0.0701279666272056
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",496901,8,987,87,5,Exponential,0.131907260730961,NaN,7   5   1   1   4   5   3   3   7   5  15   1  13,0.0293819655521783,0.0293819655521783,0.0293819655521783,0.0435663627152989,0.0435663627152989,0.0526849037487335,0.0592461313916856,0.0693673982572501
"Corvallis, OR",93053,1,164,17,1,Decreasing,NaN,-0.111111111111111,0  0  2  0  0  2  0  1  3  1  2  2  0,0.0304878048780488,0.0487804878048781,0.0548780487804878,0.0548780487804878,0.0670731707317073,0.0670731707317073,0.0616531165311653,0.0677506775067751
"Valdosta, GA",147292,5,525,41,1,Rebounding,NaN,1.11111111111111,0  2  1  1  4  4  1  0  2  3  3  5  7,0.0247619047619048,0.0285714285714286,0.0304761904761905,0.0342857142857143,0.0419047619047619,0.0476190476190476,0.0537566137566138,0.0677248677248677
"Winchester, VA-WV",140566,3,532,34,0,Tapering,NaN,0.333333333333333,0  0  2  0  2  0  5  4  2  5  1  8  5,0.0244360902255639,0.0281954887218045,0.037593984962406,0.0357142857142857,0.0507518796992481,0.056390977443609,0.0664160401002506,0.0676691729323308
"Brunswick, GA",118779,2,401,29,0,Decreasing,NaN,-0.111111111111111,1  1  0  0  1  1  1  2  8  1  2  4  4,0.0174563591022444,0.0349127182044888,0.0349127182044888,0.0399002493765586,0.0498753117206983,0.057356608478803,0.0626212247159878,0.0676087558880576
"Hattiesburg, MS",168849,6,863,64,1,Tapering,NaN,0.888888888888889,1   4   1   3   1   3   1   0   5  10   2  11  10,0.0162224797219003,0.0208574739281576,0.0278099652375435,0.0289687137891078,0.0382387022016222,0.048667439165701,0.0561349298313377,0.0669499163126046
"Lubbock, TX",322257,12,1689,141,4,Decreasing,NaN,-2.22222222222222,0   3   1   6  10   3  11  10  26  23   9   9  21,0.0260509177027827,0.0414446417998816,0.0532859680284192,0.0580224985198342,0.0597986974541149,0.0663114268798105,0.0696006841655154,0.0668377080455233
"Pensacola-Ferry Pass-Brent, FL",502629,13,1772,168,3,Decreasing,NaN,-6.44444444444444,5   1   7   7   5   9   8  22  66   0  10  13   7,0.036117381489842,0.0705417607223476,0.0699774266365688,0.0716704288939052,0.0750564334085779,0.0761851015801354,0.0711060948081264,0.0665914221218962
"State College, PA",162385,3,438,39,0,Rebounding,NaN,0.777777777777778,2  4  1  1  2  4  7  2  2  1  1  4  7,0.0525114155251142,0.0525114155251142,0.045662100456621,0.045662100456621,0.0525114155251142,0.0639269406392694,0.0674784373414511,0.0659563673262303
"Crestview-Fort Walton Beach-Destin, FL",284809,8,858,80,1,Rebounding,NaN,1.33333333333333,5   1   4   6   2   6   4   4   7   0  13   3   7,0.0372960372960373,0.0396270396270396,0.0384615384615385,0.048951048951049,0.0454545454545455,0.0512820512820513,0.0563325563325563,0.0652680652680653
"Pine Bluff, AR",87804,2,498,64,0,Decreasing,NaN,-0.666666666666667,17   0   1   4   0   5   0   1   7   9   7   2   2,0.0562248995983936,0.036144578313253,0.0542168674698795,0.0662650602409639,0.0622489959839357,0.0662650602409639,0.0609103078982597,0.0642570281124498
"Jacksonville, NC",197938,3,316,16,1,Exponential,0.229576305902529,NaN,0  0  1  0  0  0  0  0  3  0  1  2  6,0.00316455696202532,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0189873417721519,0.0379746835443038,0.0495988002988622,0.0638915388373118
"Punta Gorda, FL",188910,4,823,46,1,Rebounding,NaN,1.55555555555556,1   0   0   0   2   7   4   2   6   0  14   5   3,0.0194410692588092,0.0255164034021871,0.0255164034021871,0.0425273390036452,0.0486026731470231,0.0498177399756987,0.054002970163359,0.0637235047927636
Cleveland,2048449,45,10802,1074,20,Rebounding,NaN,8.11111111111111,36   30   55   70  102   61   95   73   48   74  110  144   14,0.0483243843732642,0.0494352897611553,0.0535086095167562,0.0586002592112572,0.0654508424365858,0.0573042029253842,0.06142895348598,0.0631570285338106
"Madison, WI",664865,13,2368,298,8,Rebounding,NaN,2.11111111111111,9   3  18  46  27  16  13  10  28   2  24  18  17,0.0599662162162162,0.0679898648648649,0.0675675675675676,0.0701013513513514,0.058277027027027,0.0540540540540541,0.0573855105105105,0.0628753753753754
"Rome, GA",98498,5,910,79,3,Decreasing,NaN,-1.55555555555556,1   1   3   2   4   7   0   1   7  25  11   6   2,0.0208791208791209,0.0274725274725275,0.0538461538461538,0.0626373626373626,0.067032967032967,0.0648351648351648,0.0606837606837607,0.0625152625152625
"Yuba City, CA",175639,6,342,25,1,Decreasing,NaN,0,1  0 -3  5  0  1  3  1  5  2  5  0  3,0.0233918128654971,0.0350877192982456,0.0409356725146199,0.064327485380117,0.0497076023391813,0.0584795321637427,0.0633528265107213,0.0623781676413255
"Alexandria, LA",152037,13,1428,106,4,Tapering,NaN,0.555555555555556,7   2   4  11   1  11   5   3  14  12  10   4  20,0.030812324929972,0.0357142857142857,0.0427170868347339,0.0469187675070028,0.0420168067226891,0.0553221288515406,0.0563336445689387,0.0619358854652972
"Michigan City-La Porte, IN",109888,2,377,19,2,Exponential,0.241411898099194,NaN,0  0  0  0  0  2  2  0  2  3  3  3  2,0.0106100795755968,0.0159151193633952,0.0238726790450928,0.0318302387267905,0.0397877984084881,0.0450928381962865,0.0519544457927976,0.0617532268278585
"Portland, OR",2492412,27,4722,631,21,Decreasing,NaN,-4,21  14  36  52  83  46  35  25  72  42  55  48   0,0.0660736975857687,0.0768742058449809,0.0828038966539602,0.0868276154171961,0.0859805167301991,0.0684032189750106,0.0642383170972752,0.0615558379217845
"Vineland-Bridgeton, NJ",149527,4,588,40,2,Decreasing,NaN,-0.333333333333333,0  1  1  1  5  2  0  1  6  9  4  5  4,0.0187074829931973,0.0289115646258503,0.0425170068027211,0.0476190476190476,0.054421768707483,0.0527210884353742,0.0555555555555556,0.0612244897959184
"Montgomery, AL",373290,11,1520,96,1,Exponential,0.177132382553085,NaN,1   8   8   8   3   0   4   1   8   8  16  18   4,0.0217105263157895,0.0263157894736842,0.0263157894736842,0.0315789473684211,0.0381578947368421,0.0388157894736842,0.050003097845458,0.0605404618561117
"Victoria, TX",99742,6,723,33,0,Tapering,NaN,0.444444444444445,0  3  0  0  0  0  0  3  9  1  5  7  5,0.00829875518672199,0.020746887966805,0.0179806362378976,0.024896265560166,0.0345781466113416,0.04149377593361,0.0505609343783618,0.0602428154295374
"Santa Cruz-Watsonville, CA",273213,5,432,59,1,Rebounding,NaN,0.222222222222222,7  0  2  1  7  2  7  3  1  4  5  3  2,0.0671296296296296,0.0532407407407407,0.0625,0.0694444444444444,0.0740740740740741,0.0625,0.0666152263374486,0.0596707818930041
"Canton-Massillon, OH",397520,8,1817,100,5,Exponential,0.189207115002721,NaN,3   2   0   3   6   3   5  16   1   7  15   5  23,0.0209135938359934,0.0198128783709411,0.0225646670335718,0.030820033021464,0.0319207484865162,0.0412768299394606,0.0500389166209533,0.0596705317761747
Cincinnati,2221208,49,9417,548,18,Exponential,0.180681783204711,NaN,13   23   14   18   22   33   33   25   52   45   50   44  127,0.0192205585642986,0.0233620048847828,0.0256982053732611,0.029521078899862,0.0322820431135181,0.0434320908994372,0.0504421383876162,0.059351937061582
"Lawrence, KS",122259,1,152,32,0,Decreasing,NaN,-0.777777777777778,4 -2  4  3  1  9  0  0  1  7  0  0  1,0.125,0.105263157894737,0.164473684210526,0.138157894736842,0.118421052631579,0.118421052631579,0.0592105263157895,0.0592105263157895
