msa,pop,MSA_FIPS,msa_short_name
"St. Joseph, MO-KS",125223,41140,
"Glens Falls, NY",125148,24020,
"Pittsfield, MA",124944,38340,
"Cleveland, TN",124942,17420,
"New Bern, NC",124284,35100,
"Farmington, NM",123958,22140,
"Ames, IA",123351,11180,
"Goldsboro, NC",123131,24140,
"Staunton, VA",123120,44420,
"Lawrence, KS",122259,29940,
"San Angelo, TX",122027,41660,
"Altoona, PA",121829,11020,
"Mansfield, OH",121154,31900,
"Wenatchee, WA",120629,48300,
"Missoula, MT",119600,33540,
"Owensboro, KY",119440,36980,
"Brunswick, GA",118779,15260,
"Weirton-Steubenville, WV-OH",116074,48260,
"Beckley, WV",115767,13220,
"Sheboygan, WI",115340,43100,
"Muncie, IN",114135,34620,
"Anniston-Oxford, AL",113605,11500,
"California-Lexington Park, MD",113510,15680,
"Williamsport, PA",113299,48700,
"Twin Falls, ID",111290,46300,
"Longview, WA",110593,31020,
"Michigan City-La Porte, IN",109888,33140,
"Kankakee, IL",109862,28100,
"Watertown-Fort Drum, NY",109834,48060,
"Lewiston-Auburn, ME",108277,30340,
"Sebring-Avon Park, FL",106221,42700,
"Decatur, IL",104009,19500,
"Fond du Lac, WI",103403,22540,
"Bay City, MI",103126,13020,
"Gettysburg, PA",103009,23900,
"Lima, OH",102351,30620,
"Gadsden, AL",102268,23460,
"Ithaca, NY",102180,27060,
"Mankato, MN",101927,31860,
"Grand Forks, ND-MN",100815,24220,
"Victoria, TX",99742,47020,
"Cheyenne, WY",99500,16940,
"Hot Springs, AR",99386,26300,
"Rome, GA",98498,40660,
"Dubuque, IA",97311,20220,
"Cumberland, MD-WV",97284,19060,
"Fairbanks, AK",96849,21820,
"Cape Girardeau, MO-IL",96765,16020,
"Pocatello, ID",95489,38540,
"Corvallis, OR",93053,18700,
"Ocean City, NJ",92039,36140,
"Parkersburg-Vienna, WV",89339,37620,
"Pine Bluff, AR",87804,38220,
"Grants Pass, OR",87487,24420,
"Columbus, IN",83779,18020,
"Elmira, NY",83456,21300,
"Bloomsburg-Berwick, PA",83194,14100,
"Midland, MI",83156,33220,
"Kokomo, IN",82544,29020,
"Great Falls, MT",81366,24500,
"Hinesville, GA",80994,25980,
"Casper, WY",79858,16220,
"Danville, IL",75758,19180,
"Grand Island, NE",75553,24260,
"Lewiston, ID-WA",62990,30300,
"Enid, OK",61056,21420,
"Walla Walla, WA",60760,47460,
"Carson City, NV",55916,16180,
