MSA_FIPS,MSA,MSA_Short_Name,County_FIPS,County,Population,Hospitals,Beds
11460,"Ann Arbor, MI","Ann Arbor, MI",26161,"Washtenaw, MI",367601,7,1873
19820,"Detroit-Warren-Dearborn, MI",Detroit,26163,"Wayne, MI",1749343,28,6156
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27003,"Anoka, MN",356921,2,546
41060,"St. Cloud, MN","St. Cloud, MN",27009,"Benton, MN",40889,0,0
31860,"Mankato, MN","Mankato, MN",27013,"Blue Earth, MN",67653,1,272
20260,"Duluth, MN-WI","Duluth, MN-WI",27017,"Carlton, MN",35871,2,61
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27019,"Carver, MN",105089,1,109
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27025,"Chisago, MN",56579,1,61
22020,"Fargo, ND-MN","Fargo, ND-MN",27027,"Clay, MN",64222,0,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27037,"Dakota, MN",429021,3,259
40340,"Rochester, MN","Rochester, MN",27039,"Dodge, MN",20934,0,0
40340,"Rochester, MN","Rochester, MN",27045,"Fillmore, MN",21067,0,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27053,"Hennepin, MN",1265843,12,4745
29100,"La Crosse-Onalaska, WI-MN","La Crosse-Onalaska, WI-MN",27055,"Houston, MN",18600,0,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27059,"Isanti, MN",40596,1,86
20260,"Duluth, MN-WI","Duluth, MN-WI",27075,"Lake, MN",10641,1,25
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27079,"Le Sueur, MN",28887,1,15
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27095,"Mille Lacs, MN",26277,1,28
31860,"Mankato, MN","Mankato, MN",27103,"Nicollet, MN",34274,1,17
40340,"Rochester, MN","Rochester, MN",27109,"Olmsted, MN",158293,3,2120
24220,"Grand Forks, ND-MN","Grand Forks, ND-MN",27119,"Polk, MN",31364,2,92
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27123,"Ramsey, MN",550321,6,1907
20260,"Duluth, MN-WI","Duluth, MN-WI",27137,"St. Louis, MN",199070,8,1125
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27139,"Scott, MN",149013,2,142
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27141,"Sherburne, MN",97238,1,54
41060,"St. Cloud, MN","St. Cloud, MN",27145,"Stearns, MN",161075,5,588
40340,"Rochester, MN","Rochester, MN",27157,"Wabasha, MN",21627,1,25
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27163,"Washington, MN",262440,2,183
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27171,"Wright, MN",138377,2,104
27140,"Jackson, MS","Jackson, MS",28029,"Copiah, MS",28065,2,50
25620,"Hattiesburg, MS","Hattiesburg, MS",28031,"Covington, MS",18636,1,35
32820,"Memphis, TN-MS-AR",Memphis,28033,"DeSoto, MS",184945,3,514
25620,"Hattiesburg, MS","Hattiesburg, MS",28035,"Forrest, MS",74897,2,545
25060,"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS",28045,"Hancock, MS",47632,1,102
25060,"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS",28047,"Harrison, MS",208080,6,944
27140,"Jackson, MS","Jackson, MS",28049,"Hinds, MS",231840,9,2540
27140,"Jackson, MS","Jackson, MS",28051,"Holmes, MS",17010,1,25
25060,"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS",28059,"Jackson, MS",143617,2,571
25620,"Hattiesburg, MS","Hattiesburg, MS",28073,"Lamar, MS",63343,2,261
27140,"Jackson, MS","Jackson, MS",28089,"Madison, MS",106272,2,134
32820,"Memphis, TN-MS-AR",Memphis,28093,"Marshall, MS",35294,1,40
25620,"Hattiesburg, MS","Hattiesburg, MS",28111,"Perry, MS",11973,1,22
27140,"Jackson, MS","Jackson, MS",28121,"Rankin, MS",155271,7,2081
27140,"Jackson, MS","Jackson, MS",28127,"Simpson, MS",26658,2,99
25060,"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS",28131,"Stone, MS",18336,1,25
32820,"Memphis, TN-MS-AR",Memphis,28137,"Tate, MS",28321,1,76
32820,"Memphis, TN-MS-AR",Memphis,28143,"Tunica, MS",9632,0,0
